City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Sembakung,ID,3.82,117.25,73.35,99,42,0.46,scattered clouds
83,Paamiut,GL,61.99,-49.67,37.56,83,73,4.13,broken clouds
84,Wattegama,LK,6.80,81.48,77.22,79,98,2.68,overcast clouds
85,Poddorye,RU,57.47,31.12,57.76,75,100,2.89,overcast clouds
86,Ostrovnoy,RU,68.05,39.51,44.17,78,100,2.94,overcast clouds
87,Fort Nelson,CA,58.81,-122.70,69.39,32,20,0.0,few clouds
88,Berlevag,NO,70.86,29.09,50.00,81,0,8.75,clear sky
89,Sile,TR,41.18,29.61,69.57,75,0,2.35,clear sky
90,Bathsheba,BB,13.22,-59.52,84.81,65,20,6.17,few clouds
91,Puerto Escondido,MX,15.85,-97.07,79.77,79,100,3.31,overcast clouds
92,Khatanga,RU,71.97,102.50,36.39,96,85,4.39,overcast clouds
93,Kamsack,CA,51.57,-101.90,55.29,48,91,10.4,overcast clouds
94,Sao Filipe,CV,14.90,-24.50,76.24,71,99,6.0,overcast clouds
95,Prainha,BR,-1.80,-53.48,83.71,73,100,1.96,overcast clouds
96,Tessalit,ML,20.20,1.01,101.66,11,100,2.06,overcast clouds
97,Norman Wells,CA,65.28,-126.83,57.24,54,20,3.6,few clouds
98,Punto Fijo,VE,11.70,-70.20,86.92,57,65,10.61,broken clouds
99,Srednekolymsk,RU,67.45,153.68,60.64,50,100,3.78,overcast clouds
100,Vao,NC,-22.67,167.48,75.34,84,93,6.66,overcast clouds
101,Fort Wellington,GY,6.40,-57.60,79.88,82,96,2.94,overcast clouds
102,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,61.07,33,63,3.16,broken clouds
103,Cordoba,AR,-31.41,-64.18,61.43,40,0,2.57,clear sky
104,Eregli,TR,37.51,34.05,73.08,33,5,1.79,clear sky
105,Qaanaaq,GL,77.48,-69.36,28.53,63,87,2.94,overcast clouds
106,Turukhansk,RU,65.82,87.98,33.87,94,92,3.41,overcast clouds
107,Nikolskoye,RU,59.70,30.79,64.29,68,100,2.27,overcast clouds
108,Hambantota,LK,6.12,81.12,79.56,84,81,8.58,broken clouds
109,Bitkine,TD,11.98,18.21,91.22,13,5,2.06,clear sky
110,Comodoro Rivadavia,AR,-45.87,-67.50,48.06,57,40,4.63,scattered clouds
111,Mursalimkino,RU,55.04,58.56,49.44,82,8,1.8,clear sky
112,Phonhong,LA,18.50,102.42,75.22,94,97,0.93,overcast clouds
113,Varhaug,NO,58.61,5.65,54.48,92,100,6.21,overcast clouds
114,Bethel,US,41.37,-73.41,70.36,73,75,1.54,broken clouds
115,Samarai,PG,-10.62,150.67,80.29,77,16,2.61,few clouds
116,Umm Kaddadah,SD,13.60,26.69,88.99,7,69,4.67,broken clouds
117,San Quintin,MX,30.48,-115.95,67.89,63,0,4.76,clear sky
118,Shingu,JP,33.73,135.98,59.11,56,100,2.73,overcast clouds
119,Timra,SE,62.49,17.33,49.68,87,75,3.6,broken clouds
120,Codrington,AU,-38.27,141.97,45.55,77,100,3.36,overcast clouds
121,Jamestown,US,42.10,-79.24,82.18,38,20,5.66,few clouds
122,Goya,AR,-29.14,-59.26,58.39,43,6,3.86,clear sky
123,Mungwi,ZM,-10.17,31.37,60.57,54,52,3.13,broken clouds
124,Mitchell,US,43.71,-98.03,66.11,37,0,3.6,clear sky
125,Fortuna,US,40.60,-124.16,66.92,76,20,2.57,few clouds
126,Cherskiy,RU,68.75,161.30,58.60,48,100,5.57,overcast clouds
127,Muhos,FI,64.81,25.99,55.18,74,79,2.41,broken clouds
128,Altamira,BR,-3.20,-52.21,87.89,70,40,2.57,scattered clouds
129,Xining,CN,36.62,101.77,58.98,53,74,1.6,broken clouds
130,Khandyga,RU,62.67,135.60,48.88,75,100,2.15,overcast clouds
131,Mandalgovi,MN,45.76,106.27,65.82,19,23,3.25,few clouds
132,Vetlanda,SE,57.43,15.08,51.69,82,100,1.03,overcast clouds
133,Dikson,RU,73.51,80.55,28.51,95,100,11.0,light snow
134,Sao Joao Da Barra,BR,-21.64,-41.05,84.29,79,6,4.93,clear sky
135,Dimitrovgrad,RU,54.21,49.62,59.18,75,54,1.52,broken clouds
136,Cabo San Lucas,MX,22.89,-109.91,90.70,73,23,1.34,few clouds
137,Rocha,UY,-34.48,-54.33,51.51,54,18,4.35,few clouds
138,Iqaluit,CA,63.75,-68.51,37.13,60,75,2.06,broken clouds
139,Winslow,US,35.02,-110.70,73.58,13,0,1.54,clear sky
140,Concord,US,37.98,-122.03,88.29,31,0,1.79,clear sky
141,Nanortalik,GL,60.14,-45.24,40.12,78,100,1.26,overcast clouds
