City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
64,64,Vostok,RU,2022-05-24 20:18:15,46.4856,135.8833,284.94,99,100,0.87
65,65,Norman Wells,CA,2022-05-24 20:18:15,65.282,-126.8329,285.17,37,75,8.75
66,66,Nome,US,2022-05-24 20:18:15,64.5011,-165.4064,288.8,50,0,3.09
67,67,Jimo,CN,2022-05-24 20:18:16,36.3897,120.4622,292.03,94,20,4.0
68,68,Andijon,UZ,2022-05-24 20:18:16,40.7821,72.3442,290.75,56,0,2.75
69,69,Cabedelo,BR,2022-05-24 20:18:16,-6.9811,-34.8339,298.52,86,30,6.2
70,70,Yellowknife,CA,2022-05-24 20:18:17,62.456,-114.3525,283.46,34,75,7.2
71,71,Rikitea,PF,2022-05-24 20:18:17,-23.1203,-134.9692,297.71,73,73,3.79
72,72,Stornoway,GB,2022-05-24 20:14:51,58.2093,-6.3865,284.13,84,40,4.12
73,73,Nepa Nagar,IN,2022-05-24 20:18:17,21.4667,76.4,304.32,48,0,4.3
74,74,Sept-Iles,CA,2022-05-24 20:18:18,50.2001,-66.3821,288.44,38,20,8.23
75,75,Bereda,ES,2022-05-24 20:18:18,43.2686,-7.5406,284.03,98,66,0.87
76,76,West Bay,KY,2022-05-24 20:18:18,19.3667,-81.4167,303.19,66,20,5.14
77,77,Bilma,NE,2022-05-24 20:18:18,18.6853,12.9164,304.96,10,1,0.65
78,78,Leningradskiy,RU,2022-05-24 20:18:19,69.3833,178.4167,279.61,71,70,3.58
79,79,Balykshi,KZ,2022-05-24 20:18:19,47.0667,51.8667,285.15,87,100,3.0
80,80,Cherskiy,RU,2022-05-24 20:18:19,68.75,161.3,278.6,77,97,4.31
81,81,Saucillo,MX,2022-05-24 20:18:20,28.0167,-105.2833,306.3,6,5,6.01
82,82,Llangefni,GB,2022-05-24 20:18:20,53.2556,-4.3106,286.33,77,100,7.2
83,83,Camana,PE,2022-05-24 20:18:20,-16.6228,-72.7111,292.25,73,44,3.3
84,84,Arkhara,RU,2022-05-24 20:18:21,49.4212,130.0842,278.73,92,100,1.82
85,85,Mao,ES,2022-05-24 20:18:21,39.8885,4.2658,293.46,77,75,6.69
86,86,Bluff,NZ,2022-05-24 20:18:21,-46.6,168.3333,283.04,61,56,11.98
87,87,Batemans Bay,AU,2022-05-24 20:18:22,-35.7167,150.1833,285.98,91,5,1.85
88,88,Meulaboh,ID,2022-05-24 20:18:22,4.1363,96.1285,298.78,85,100,0.85
89,89,Khatanga,RU,2022-05-24 20:18:42,71.9667,102.5,272.66,84,100,1.2
90,90,Kodiak,US,2022-05-24 20:18:42,57.79,-152.4072,281.88,81,100,3.6
91,91,Gimli,CA,2022-05-24 20:18:43,50.6336,-96.9907,292.16,34,5,3.6
92,92,Sabha,LY,2022-05-24 20:18:43,27.0377,14.4283,304.45,13,53,4.39
93,93,Tuktoyaktuk,CA,2022-05-24 20:18:43,69.4541,-133.0374,282.15,37,75,7.2
94,94,Thinadhoo,MV,2022-05-24 20:18:44,0.5333,72.9333,301.68,70,98,2.74
95,95,Dikson,RU,2022-05-24 20:18:44,73.5069,80.5464,270.85,78,100,3.26
96,96,Irun,ES,2022-05-24 20:18:44,43.339,-1.7894,288.81,73,40,2.57
97,97,Waipawa,NZ,2022-05-24 20:18:44,-41.4122,175.5153,280.72,88,0,2.68
98,98,Haines Junction,CA,2022-05-24 20:18:45,60.7522,-137.5108,280.12,76,100,1.54
99,99,Hilo,US,2022-05-24 20:18:41,19.7297,-155.09,302.19,73,100,1.34
100,100,Chiang Rai,TH,2022-05-24 20:18:45,19.9167,99.9167,297.14,98,40,2.06
101,101,Hendersonville,US,2022-05-24 20:18:45,36.3048,-86.62,300.52,66,100,2.24
102,102,Evensk,RU,2022-05-24 20:18:46,61.95,159.2333,276.19,97,100,1.93
103,103,Lakes Entrance,AU,2022-05-24 20:18:46,-37.8811,147.981,280.41,66,0,1.65
104,104,Kaitangata,NZ,2022-05-24 20:18:46,-46.2817,169.8464,282.49,67,70,7.48
105,105,Port Blair,IN,2022-05-24 20:18:46,11.6667,92.75,301.19,81,100,8.07
106,106,Gizo,SB,2022-05-24 20:18:47,-8.103,156.8419,300.66,75,8,0.47
107,107,Cockburn Town,TC,2022-05-24 20:18:47,21.4612,-71.1419,299.69,71,53,8.0
108,108,Holme,DK,2022-05-24 20:18:47,56.1138,10.1725,285.91,85,31,5.27
109,109,Kiunga,PG,2022-05-24 20:18:48,-6.1219,141.2906,295.55,100,70,0.73
110,110,Saskylakh,RU,2022-05-24 20:18:48,71.9167,114.0833,271.8,97,99,3.88
111,111,Port Moresby,PG,2022-05-24 20:18:48,-9.4431,147.1797,297.12,91,73,3.3
112,112,Santana Do Matos,BR,2022-05-24 20:18:49,-5.9575,-36.6556,300.44,68,36,5.73
113,113,Namibe,AO,2022-05-24 20:18:49,-15.1961,12.1522,293.1,74,0,4.81
114,114,Antofagasta,CL,2022-05-24 20:18:49,-23.65,-70.4,288.75,74,9,2.91
115,115,Singaraja,ID,2022-05-24 20:18:49,-8.112,115.0882,299.77,80,100,1.6
116,116,Carutapera,BR,2022-05-24 20:18:50,-1.195,-46.02,298.48,91,95,2.5
117,117,Baherden,TM,2022-05-24 20:18:50,38.4362,57.4316,297.62,42,0,2.54
118,118,Glenwood Springs,US,2022-05-24 20:18:50,39.5505,-107.3248,290.66,46,75,2.57
119,119,Baykit,RU,2022-05-24 20:18:51,61.67,96.37,285.44,74,95,1.85
120,120,Beringovskiy,RU,2022-05-24 20:18:51,63.05,179.3167,279.91,57,7,1.49
121,121,Tocopilla,CL,2022-05-24 20:18:51,-22.092,-70.1979,292.67,68,19,3.52
122,122,Hermanus,ZA,2022-05-24 20:18:51,-34.4187,19.2345,287.48,85,100,3.78
123,123,Tuatapere,NZ,2022-05-24 20:18:52,-46.1333,167.6833,282.58,79,97,6.9
124,124,Kemijarvi,FI,2022-05-24 20:18:52,66.7131,27.4306,284.11,61,53,2.61
125,125,Takoradi,GH,2022-05-24 20:18:52,4.8845,-1.7554,298.91,84,100,4.51
126,126,Vila Franca Do Campo,PT,2022-05-24 20:18:52,37.7167,-25.4333,290.38,71,28,2.44
127,127,Trelew,AR,2022-05-24 20:18:53,-43.249,-65.3051,282.35,29,9,8.21
128,128,La Ronge,CA,2022-05-24 20:18:53,55.1001,-105.2842,283.27,31,75,5.66
129,129,Beira,MZ,2022-05-24 20:18:53,-19.8436,34.8389,292.2,94,0,1.03
130,130,Ambikapur,IN,2022-05-24 20:18:54,23.1167,83.2,297.21,47,0,1.53
131,131,Kibala,TD,2022-05-24 20:18:54,9.1104,18.3463,299.55,65,100,2.66
132,132,Marawi,PH,2022-05-24 20:18:54,7.9986,124.2928,294.16,92,100,1.02
133,133,Kruisfontein,ZA,2022-05-24 20:18:54,-34.0033,24.7314,290.31,89,100,5.42
134,134,Herisau,CH,2022-05-24 20:18:55,47.3862,9.2792,285.42,94,100,1.22
135,135,Hofn,IS,2022-05-24 20:18:55,64.2539,-15.2082,280.44,84,100,2.1
136,136,Port Lincoln,AU,2022-05-24 20:18:55,-34.7333,135.8667,288.98,84,99,9.39
137,137,Togitsu,JP,2022-05-24 20:18:56,32.8333,129.85,291.57,93,81,0.95
138,138,Bredasdorp,ZA,2022-05-24 20:18:56,-34.5322,20.0403,289.28,76,100,3.26
139,139,Kavieng,PG,2022-05-24 20:19:16,-2.5744,150.7967,300.33,73,93,4.56
140,140,Jiwani,PK,2022-05-24 20:19:16,25.05,61.7417,301.79,88,0,3.74
141,141,Brenham,US,2022-05-24 20:15:48,30.1669,-96.3977,303.07,57,100,5.66
142,142,Turbat,PK,2022-05-24 20:19:17,26.0023,63.044,303.92,52,0,1.36
143,143,Mahebourg,MU,2022-05-24 20:19:17,-20.4081,57.7,296.31,83,75,1.54
144,144,Crateus,BR,2022-05-24 20:19:17,-5.1783,-40.6775,302.16,48,33,3.13
145,145,Sioux Lookout,CA,2022-05-24 20:19:18,50.1001,-91.917,293.19,40,75,5.66
146,146,Leshukonskoye,RU,2022-05-24 20:19:18,64.8989,45.7622,275.27,93,13,2.96
147,147,Multan,PK,2022-05-24 20:19:18,30.1956,71.4753,303.09,42,0,3.09
148,148,Puerto Carreno,CO,2022-05-24 20:15:12,6.189,-67.4859,300.14,83,40,2.57
149,149,Nikolskoye,RU,2022-05-24 20:19:19,59.7035,30.7861,282.09,90,50,1.13
150,150,Kodinar,IN,2022-05-24 20:19:19,20.7903,70.7031,301.63,75,0,5.61
151,151,Maragogi,BR,2022-05-24 20:19:19,-9.0122,-35.2225,298.03,88,100,5.09
152,152,Coracora,PE,2022-05-24 20:19:19,-15.0333,-73.7833,288.32,24,0,4.62
153,153,Barrhead,GB,2022-05-24 20:19:20,55.7992,-4.3929,284.83,78,59,2.57
154,154,Mendi,PG,2022-05-24 20:19:20,-6.1761,143.6513,286.09,96,86,0.66
155,155,Arraial Do Cabo,BR,2022-05-24 20:15:46,-22.9661,-42.0278,296.13,73,75,6.69
156,156,Buxar,IN,2022-05-24 20:19:20,25.5833,83.9833,304.52,39,98,3.05
157,157,Klyuchi,RU,2022-05-24 20:19:21,52.2667,79.1667,291.13,42,100,4.31
158,158,Codrington,AU,2022-05-24 20:19:21,-38.2667,141.9667,284.69,73,100,4.86
